Team,Most Common Formation
Paris Saint-Germain,4-3-3
Marseille,3-4-3
Monaco,4-2-3-1
Nice,3-4-3
Lille,4-2-3-1
Strasbourg,3-4-3
Lyon,4-2-3-1
Brest,4-3-3
Lens,3-4-1-2
Auxerre,5-4-1
Rennes,3-4-3
Toulouse,3-4-3
Angers,4-2-3-1
Reims,4-2-3-1
Nantes,4-2-3-1
Le Havre,4-2-3-1
Saint-Étienne,4-3-3
Montpellier,4-2-3-1
