Team,Most Common Formation
Bayern Munich,4-2-3-1
Bayer Leverkusen,3-4-3
Eintracht Frankfurt,4-4-2
Freiburg,4-2-3-1
Borussia Dortmund,4-2-3-1
Mainz 05,3-4-3
RB Leipzig,4-4-2
Werder Bremen,3-5-2
Stuttgart,4-2-3-1
Monchengladbach,4-2-3-1
Augsburg,3-4-3
Wolfsburg,4-4-2
Union Berlin,3-4-3
St Pauli,3-4-3
Hoffenheim,4-2-3-1
Heidenheim,4-2-3-1
Holstein Kiel,3-4-1-2
Bochum,3-5-2
