Club Name
Manchester City
Arsenal FC
Liverpool FC
Chelsea FC
Tottenham Hotspur
Manchester United
Newcastle United
Aston Villa
Brighton & Hove Albion
West Ham United
Nottingham Forest
Crystal Palace
AFC Bournemouth
Brentford FC
Wolverhampton Wanderers
Everton FC
Fulham FC
Ipswich Town
Southampton FC
Leicester City
