Club Name
Real Madrid
FC Barcelona
Atlético de Madrid
Real Sociedad
Athletic Bilbao
Villarreal CF
Valencia CF
Girona FC
Sevilla FC
Real Betis Balompié
UD Las Palmas
CA Osasuna
Celta de Vigo
RCD Espanyol Barcelona
RCD Mallorca
Getafe CF
Deportivo Alavés
Rayo Vallecano
Real Valladolid CF
CD Leganés
