Club Name
Inter Milan
Juventus FC
AC Milan
Atalanta BC
SSC Napoli
AS Roma
SS Lazio
Bologna FC 1909
ACF Fiorentina
Torino FC
Como 1907
Genoa CFC
Udinese Calcio
Parma Calcio 1913
FC Empoli
Hellas Verona
AC Monza
Cagliari Calcio
US Lecce
Venezia FC
