Team,Recent Form
FC Augsburg,WDLWL
Union Berlin,WDWDW
VfL Bochum,LLLLD
Werder Bremen,WDDWL
Borussia Dortmund,WWDWW
Eintracht Frankfurt,WLWWW
SC Freiburg,WWLWW
1. FC Heidenheim,WWWWW
TSG Hoffenheim,DWLLL
Holstein Kiel,WLLLD
RB Leipzig,WWWDL
Bayer Leverkusen,DWWLW
Mainz 05,WDDLW
Borussia Monchengladbach,WLWLL
Bayern Munich,WWWWW
FC St. Pauli,WLLLD
VfB Stuttgart,DLWDW
VfL Wolfsburg,WLWLL
