Team,Recent Form
Alaves,LDWWL
Athletic Bilbao,DLWLW
Atletico Madrid,DWDWW
Barcelona,WWWWW
Celta Vigo,WWLLW
Espanyol,LLDWW
Getafe,DDDLL
Girona,DLWWL
Las Palmas,DLDLL
Leganes,DWDLL
Mallorca,DLDWL
Osasuna,DWLWL
Rayo Vallecano,WDLLW
Real Betis,DWDWL
Real Madrid,WDWDW
Real Sociedad,LWLDL
Sevilla,DLDLW
Valencia,LLLDL
Valladolid,WLDLL
Villarreal,DWWDW
